Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,SalePrice,House_Age,Years_Since_Modified,Garage_Age,TotalBaths,LivingArea,PorchDeckSF
11,20,RL,70.0,11200,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,Hip,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,1,3,906,1,0,134,1040,GasA,5,1,SBrkr,1040,0,0,1040,1,0,1,0,3,1,3,5,0,0,Detchd,1,384,3,3,Y,0,0,0,0,0,0,0,NoFence,None,0,129500,43,43,43.0,1.0,2080,0
12,60,RL,85.0,11924,Pave,NoAlley,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,5,3,PConc,5,3,1,6,998,1,0,177,1175,GasA,5,1,SBrkr,1182,1142,0,2324,1,0,3,0,4,1,5,5,2,4,BuiltIn,3,736,3,3,Y,147,21,0,0,0,0,0,NoFence,None,0,345000,1,0,1.0,3.0,3499,168
13,20,RL,73.98864108059871,12968,Pave,NoAlley,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,Hip,CompShg,HdBoard,Plywood,None,0.0,3,3,CBlock,3,3,1,5,737,1,0,175,912,GasA,3,1,SBrkr,912,0,0,912,1,0,1,0,2,1,3,5,0,0,Detchd,1,352,3,3,Y,140,0,0,0,176,0,0,NoFence,None,0,144000,46,46,46.0,1.0,1824,316
14,20,RL,91.0,10652,Pave,NoAlley,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,4,3,PConc,4,3,3,1,0,1,0,1494,1494,GasA,5,1,SBrkr,1494,0,0,1494,0,0,2,0,3,1,4,5,1,4,Attchd,2,840,3,3,Y,160,33,0,0,0,0,0,NoFence,None,0,279500,1,0,1.0,2.0,2988,193
15,20,RL,71.31436517636351,10920,Pave,NoAlley,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,3,3,CBlock,3,3,1,4,733,1,0,520,1253,GasA,3,1,SBrkr,1253,0,0,1253,1,0,1,1,2,1,3,5,1,2,Attchd,2,352,3,3,Y,0,213,176,0,0,0,0,GdWo,None,0,157000,48,48,48.0,1.5,2506,389
16,45,RM,51.0,6120,Pave,NoAlley,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3,3,1,1,0,1,0,832,832,GasA,5,1,FuseA,854,0,0,854,0,0,1,0,2,1,3,5,0,0,Detchd,1,576,3,3,Y,48,112,0,0,0,0,0,GdPrv,None,0,132000,78,6,16.0,1.0,1686,160
17,20,RL,71.73352658518164,11241,Pave,NoAlley,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,3,3,CBlock,3,3,1,5,578,1,0,426,1004,GasA,5,1,SBrkr,1004,0,0,1004,1,0,1,0,2,1,3,5,1,3,Attchd,3,480,3,3,Y,0,0,0,0,0,0,0,NoFence,Shed,700,149000,40,40,40.0,1.0,2008,0
18,90,RL,72.0,10791,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,Slab,0,0,0,0,0,0,0,0,0,GasA,3,1,SBrkr,1296,0,0,1296,0,0,2,0,2,2,3,5,0,0,CarPort,1,516,3,3,Y,0,0,0,0,0,0,0,NoFence,Shed,500,90000,39,39,39.0,2.0,1296,0
19,20,RL,66.0,13695,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,3,3,1,6,646,1,0,468,1114,GasA,5,1,SBrkr,1114,0,0,1114,1,0,1,1,3,1,4,5,0,0,Detchd,1,576,3,3,Y,0,102,0,0,0,0,0,NoFence,None,0,159000,4,4,4.0,1.5,2228,102
20,20,RL,70.0,7560,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,Hip,CompShg,BrkFace,Plywood,None,0.0,3,3,CBlock,3,3,1,2,504,1,0,525,1029,GasA,3,1,SBrkr,1339,0,0,1339,0,0,1,0,3,1,3,4,0,0,Attchd,1,294,3,3,Y,0,0,0,0,0,0,0,MnPrv,None,0,139000,51,44,51.0,1.0,2368,0
21,60,RL,101.0,14215,Pave,NoAlley,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,4,3,PConc,5,3,3,1,0,1,0,1158,1158,GasA,5,1,SBrkr,1158,1218,0,2376,0,0,3,1,4,1,4,5,1,4,BuiltIn,2,853,3,3,Y,240,154,0,0,0,0,0,NoFence,None,0,325300,1,0,1.0,3.5,3534,394
22,45,RM,57.0,7449,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,PConc,3,3,1,1,0,1,0,637,637,GasA,5,1,FuseF,1108,0,0,1108,0,0,1,0,3,1,4,5,1,4,Attchd,1,280,3,3,N,0,0,205,0,0,0,0,GdPrv,None,0,139400,77,57,77.0,1.0,1745,205
23,20,RL,75.0,9742,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,4,3,PConc,4,3,1,1,0,1,0,1777,1777,GasA,5,1,SBrkr,1795,0,0,1795,0,0,2,0,3,1,4,5,1,4,Attchd,2,534,3,3,Y,171,159,0,0,0,0,0,NoFence,None,0,230000,6,6,6.0,2.0,3572,330
24,120,RM,44.0,4224,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,3,PConc,4,3,1,6,840,1,0,200,1040,GasA,3,1,SBrkr,1060,0,0,1060,1,0,1,0,3,1,3,5,1,3,Attchd,1,572,3,3,Y,100,110,0,0,0,0,0,NoFence,None,0,129900,31,31,31.0,1.0,2100,210
25,20,RL,67.82265923499394,8246,Pave,NoAlley,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,Gable,CompShg,Plywood,Plywood,None,0.0,3,4,CBlock,3,3,2,3,188,5,668,204,1060,GasA,5,1,SBrkr,1060,0,0,1060,1,0,1,0,3,1,4,5,1,3,Attchd,1,270,3,3,Y,406,90,0,0,0,0,0,MnPrv,None,0,154000,42,9,42.0,1.0,2120,496
26,20,RL,110.0,14230,Pave,NoAlley,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,4,3,PConc,4,3,1,1,0,1,0,1566,1566,GasA,5,1,SBrkr,1600,0,0,1600,0,0,2,0,3,1,4,5,1,4,Attchd,2,890,3,3,Y,0,56,0,0,0,0,0,NoFence,None,0,256300,2,2,2.0,2.0,3166,56
27,20,RL,60.0,7200,Pave,NoAlley,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,2,4,234,3,486,180,900,GasA,3,1,SBrkr,900,0,0,900,0,1,1,0,3,1,4,5,0,0,Detchd,1,576,3,3,Y,222,32,0,0,0,0,0,NoFence,None,0,134800,59,10,5.0,1.0,1800,254
28,20,RL,98.0,11478,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,4,3,PConc,5,3,1,6,1218,1,0,486,1704,GasA,5,1,SBrkr,1704,0,0,1704,1,0,2,0,3,1,4,5,1,4,Attchd,2,772,3,3,Y,0,50,0,0,0,0,0,NoFence,None,0,306000,3,2,2.0,2.0,3408,50
29,20,RL,47.0,16321,Pave,NoAlley,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,3,3,4,4,1277,1,0,207,1484,GasA,3,1,SBrkr,1600,0,0,1600,1,0,1,0,2,1,3,5,2,4,Attchd,2,319,3,3,Y,288,258,0,0,0,0,0,NoFence,None,0,207500,49,9,49.0,1.0,3084,546
30,30,RM,60.0,6324,Pave,NoAlley,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3,3,1,1,0,1,0,520,520,GasA,2,0,SBrkr,520,0,0,520,0,0,1,0,1,1,2,5,0,0,Detchd,1,240,2,3,Y,49,0,87,0,0,0,0,NoFence,None,0,68500,81,58,88.0,1.0,1040,136
32,20,RL,68.21178727184066,8544,Pave,NoAlley,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,1,1,0,1,0,1228,1228,GasA,4,1,SBrkr,1228,0,0,1228,0,0,1,1,3,1,4,5,0,0,Attchd,1,271,3,3,Y,0,65,0,0,0,0,0,MnPrv,None,0,149350,42,2,42.0,1.5,2456,65
33,20,RL,85.0,11049,Pave,NoAlley,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,5,3,3,1,0,1,0,1234,1234,GasA,5,1,SBrkr,1234,0,0,1234,0,0,2,0,3,1,4,5,0,0,Attchd,2,484,3,3,Y,0,30,0,0,0,0,0,NoFence,None,0,179900,1,1,1.0,2.0,2468,30
34,20,RL,70.0,10552,Pave,NoAlley,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,Hip,CompShg,BrkFace,BrkFace,None,0.0,3,3,CBlock,3,3,1,3,1018,1,0,380,1398,GasA,4,1,SBrkr,1700,0,0,1700,0,1,1,1,4,1,4,5,1,4,Attchd,2,447,3,3,Y,0,38,0,0,0,0,0,NoFence,None,0,165500,51,51,51.0,1.5,3098,38
35,120,RL,60.0,7313,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,5,3,PConc,5,3,1,6,1153,1,0,408,1561,GasA,5,1,SBrkr,1561,0,0,1561,1,0,2,0,2,1,5,5,1,4,Attchd,3,556,3,3,Y,203,47,0,0,0,0,0,NoFence,None,0,277500,2,2,2.0,2.0,3122,250
36,60,RL,108.0,13418,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,4,3,PConc,5,3,3,1,0,1,0,1117,1117,GasA,5,1,SBrkr,1132,1320,0,2452,0,0,3,1,4,1,4,5,1,4,BuiltIn,3,691,3,3,Y,113,32,0,0,0,0,0,NoFence,None,0,309000,2,1,2.0,3.5,3569,145
37,20,RL,112.0,10859,Pave,NoAlley,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,1,1,0,1,0,1097,1097,GasA,5,1,SBrkr,1097,0,0,1097,0,0,1,1,3,1,3,5,0,0,Attchd,1,672,3,3,Y,392,64,0,0,0,0,0,NoFence,None,0,145000,15,14,14.0,1.5,2194,456
38,20,RL,74.0,8532,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650.0,3,3,CBlock,3,3,1,3,1213,1,0,84,1297,GasA,4,1,SBrkr,1297,0,0,1297,0,1,1,0,3,1,3,5,1,3,Attchd,3,498,3,3,Y,0,0,0,0,0,0,0,NoFence,None,0,153000,55,19,55.0,1.0,2594,0
39,20,RL,68.0,7922,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3,3,1,6,731,1,0,326,1057,GasA,3,1,SBrkr,1057,0,0,1057,1,0,1,0,3,1,4,5,0,0,Detchd,1,246,3,3,Y,0,52,0,0,0,0,0,NoFence,None,0,109000,57,3,57.0,1.0,2114,52
40,90,RL,65.0,6040,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,5,Gable,CompShg,AsbShng,Plywood,None,0.0,3,3,PConc,0,0,0,0,0,0,0,0,0,GasA,3,0,FuseP,1152,0,0,1152,0,0,2,0,2,2,2,5,0,0,NoGarage,0,0,0,0,N,0,0,0,0,0,0,0,NoFence,None,0,82000,53,53,-42.0,2.0,1152,0
41,20,RL,84.0,8658,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101.0,3,3,CBlock,3,3,1,3,643,1,0,445,1088,GasA,5,1,SBrkr,1324,0,0,1324,0,0,2,0,3,1,3,5,1,3,Attchd,2,440,3,3,Y,0,138,0,0,0,0,0,GdWo,None,0,160000,41,41,41.0,2.0,2412,138
42,20,RL,115.0,16905,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3,3,4,4,967,1,0,383,1350,GasA,4,1,SBrkr,1328,0,0,1328,0,1,1,1,2,1,3,5,2,4,Attchd,2,308,3,3,P,0,104,0,0,0,0,0,NoFence,None,0,170000,48,48,48.0,1.5,2678,104
43,85,RL,69.0422752967887,9180,Pave,NoAlley,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,4,3,3,5,747,2,93,0,840,GasA,4,1,SBrkr,884,0,0,884,1,0,1,0,2,1,4,5,0,0,Attchd,2,504,3,4,Y,240,0,0,0,0,0,0,MnPrv,None,0,144000,24,24,24.0,1.0,1724,240
44,20,RL,69.068391272416,9200,Pave,NoAlley,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,Hip,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,4,3,3,2,280,4,491,167,938,GasA,3,1,SBrkr,938,0,0,938,1,0,1,0,3,1,3,5,0,0,Detchd,1,308,3,3,Y,145,0,0,0,0,0,0,MnPrv,None,0,130250,33,28,31.0,1.0,1876,145
45,20,RL,70.0,7945,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,5,179,4,506,465,1150,GasA,5,1,FuseA,1150,0,0,1150,1,0,1,0,3,1,3,5,0,0,Attchd,2,300,3,3,Y,0,0,0,0,0,0,0,NoFence,None,0,141000,47,47,47.0,1.0,2300,0
46,120,RL,61.0,7658,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,Hip,CompShg,MetalSd,MetalSd,BrkFace,412.0,5,3,PConc,5,3,1,6,456,1,0,1296,1752,GasA,5,1,SBrkr,1752,0,0,1752,1,0,2,0,2,1,5,5,1,4,Attchd,2,576,3,3,Y,196,82,0,0,0,0,0,NoFence,None,0,319900,5,5,5.0,2.0,3504,278
47,50,RL,48.0,12822,Pave,NoAlley,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,5,3,1,6,1351,1,0,83,1434,GasA,5,1,SBrkr,1518,631,0,2149,1,0,1,1,1,1,4,5,1,5,Attchd,2,670,3,3,Y,168,43,0,0,198,0,0,NoFence,None,0,239686,6,6,6.0,1.5,3583,409
48,20,FV,84.0,11096,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,3,6,24,1,0,1632,1656,GasA,5,1,SBrkr,1656,0,0,1656,0,0,2,0,3,1,4,5,0,0,Attchd,2,826,3,3,Y,0,146,0,0,0,0,0,NoFence,None,0,249700,1,1,1.0,2.0,3312,146
49,190,RM,33.0,4456,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,4,5,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3,3,1,1,0,1,0,736,736,GasA,4,1,SBrkr,736,716,0,1452,0,0,2,0,2,3,3,5,0,0,NoGarage,0,0,0,0,N,0,0,102,0,0,0,0,NoFence,None,0,113000,89,1,-41.0,2.0,2188,102
50,20,RL,66.0,7742,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,7,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,1,4,763,1,0,192,955,GasA,5,1,SBrkr,955,0,0,955,1,0,1,0,3,1,3,5,0,0,Attchd,1,386,3,3,Y,0,0,0,0,0,0,0,MnPrv,None,0,127000,41,41,41.0,1.0,1910,0
51,60,RL,75.16516578260843,13869,Pave,NoAlley,IR2,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,6,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,3,6,182,1,0,612,794,GasA,4,1,SBrkr,794,676,0,1470,0,1,2,0,3,1,3,5,0,0,Attchd,3,388,3,3,Y,0,75,0,0,0,0,0,NoFence,None,0,177000,10,10,10.0,2.0,2264,75
52,50,RM,52.0,6240,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,6,6,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,PConc,3,3,1,1,0,1,0,816,816,GasA,3,1,SBrkr,816,0,360,1176,0,0,1,0,3,1,3,5,1,4,Detchd,1,528,3,3,Y,112,0,0,0,0,0,0,MnPrv,Shed,400,114500,72,56,21.0,1.0,1632,112
53,90,RM,110.0,8472,Grvl,NoAlley,IR2,Bnk,AllPub,Corner,Mod,IDOTRR,RRNn,Norm,Duplex,1Story,5,5,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,3,CBlock,4,3,4,2,104,6,712,0,816,GasA,3,0,SBrkr,816,0,0,816,1,0,1,0,2,1,3,5,0,0,CarPort,1,516,3,3,Y,106,0,0,0,0,0,0,NoFence,None,0,110000,47,47,47.0,1.0,1632,106
54,20,RL,68.0,50271,Pave,NoAlley,IR1,Low,AllPub,Inside,Gtl,Veenker,Norm,Norm,1Fam,1Story,9,5,Gable,WdShngl,WdShing,Wd Shng,None,0.0,4,3,CBlock,5,3,4,6,1810,1,0,32,1842,GasA,4,1,SBrkr,1842,0,0,1842,2,0,0,1,0,1,4,5,1,4,Attchd,3,894,3,3,Y,857,72,0,0,0,0,0,NoFence,None,0,385000,25,19,25.0,0.5,3684,929
55,80,RL,60.0,7134,Pave,NoAlley,Reg,Bnk,AllPub,Inside,Mod,NAmes,Norm,Norm,1Fam,SLvl,5,5,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,3,3,1,5,384,1,0,0,384,GasA,3,1,SBrkr,1360,0,0,1360,0,0,1,0,3,1,3,4,1,3,Detchd,1,572,3,3,Y,0,50,0,0,0,0,0,MnPrv,None,0,130000,52,52,45.0,1.0,1744,50
56,20,RL,100.0,10175,Pave,NoAlley,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,Gable,CompShg,HdBoard,Plywood,BrkFace,272.0,3,3,CBlock,3,3,1,4,490,1,0,935,1425,GasA,4,1,SBrkr,1425,0,0,1425,0,0,2,0,3,1,3,5,1,4,Attchd,2,576,3,3,Y,0,0,0,407,0,0,0,NoFence,None,0,180500,44,44,44.0,2.0,2850,407
